X,Y,Curve,Radius
738928.3416,3008029.391,0,6.666666667
738919.1176,3008026.107,0,12.5
738909.8433,3008022.803,0,50
738900.5815,3008019.625,0,100
738891.3918,3008016.717,0,100
738882.1213,3008013.785,0,50
738872.8758,3008010.741,0,50
738863.4117,3008007.358,0,50
738853.9831,3008003.98,0,14.28571429
738844.5959,3008000.568,0,11.11111111
738835.1558,3007997.018,0,11.11111111
738825.771,3007993.484,0,14.28571429
738816.218,3007989.876,0,100
738806.762,3007986.272,0,16.66666667
738797.1221,3007982.597,0,8.333333333
738787.4324,3007978.982,0,7.142857143
738777.9636,3007975.581,0,6.666666667
738768.1886,3007972.071,0,5.263157895
738758.704,3007968.718,0,5
738749.1687,3007965.376,0,100
738739.473,3007961.963,0,2.5
738730.138,3007958.618,1,1.428571429
738720.6505,3007955.213,0,1.612903226
738711.3167,3007951.751,0,5.555555556
738702.0214,3007948.25,0,3.703703704
738692.7359,3007944.804,0,2.173913043
738683.4311,3007941.482,0,2.380952381
738674.1145,3007938.16,0,3.125
738664.7902,3007934.976,0,4
738655.4335,3007931.831,0,6.25
738646.1475,3007928.716,0,50
738636.8031,3007925.602,0,4
738627.4773,3007922.496,0,2.564102564
738618.2506,3007919.291,0,3.03030303
738608.9428,3007915.919,0,9.090909091
738599.7512,3007912.589,0,7.692307692
738590.4553,3007909.371,0,3.846153846
738581.1222,3007906.185,0,4.347826087
738571.9328,3007903.049,0,9.090909091
738562.552,3007899.863,0,100
738553.2855,3007896.716,0,25
738544.0135,3007893.54,0,50
738534.5947,3007890.221,0,33.33333333
738525.3108,3007886.942,0,16.66666667
738515.9398,3007883.658,0,11.11111111
738506.6239,3007880.45,0,14.28571429
738497.3089,3007877.243,0,50
738487.977,3007874.042,0,50
738478.6703,3007870.87,0,100
738469.2739,3007867.669,0,33.33333333
738459.9752,3007864.437,0,20
738450.5857,3007861.082,0,25
738441.2307,3007857.74,0,50
738431.8741,3007854.583,0,33.33333333
738422.361,3007851.623,0,33.33333333
738412.9849,3007848.706,0,100
738403.6899,3007845.544,0,12.5
738394.6545,3007842.076,0,7.142857143
738385.5955,3007838.599,0,8.333333333
738376.3866,3007835.133,0,20
738367.1413,3007831.755,0,100
738357.7532,3007828.325,0,33.33333333
738348.433,3007824.972,0,100
738339.1006,3007821.69,0,25
738329.6864,3007818.379,0,14.28571429
738320.331,3007815.156,0,20
738310.8578,3007811.977,0,20
738301.4249,3007808.812,0,5.882352941
738292.035,3007805.577,0,4.545454545
738282.6349,3007802.258,0,7.142857143
738273.1215,3007798.898,0,100
738263.6484,3007795.658,0,16.66666667
738254.258,3007792.499,0,50
738244.7101,3007789.284,0,33.33333333
738235.418,3007786.117,0,100
738226.2265,3007782.98,0,11.11111111
738216.8664,3007779.746,0,5
738207.4829,3007776.431,0,3.703703704
738198.0266,3007773.09,0,3.125
738188.6,3007769.856,0,2.857142857
738179.2177,3007766.689,0,3.225806452
738169.8265,3007763.522,0,5.555555556
738160.5585,3007760.439,0,100
738151.2166,3007757.338,0,7.692307692
738141.9367,3007754.209,0,9.090909091
738132.5609,3007750.907,0,100
738123.1203,3007747.575,0,7.692307692
738113.8087,3007744.337,0,5.263157895
738104.4211,3007741.133,0,6.25
738095.1458,3007737.966,0,16.66666667
738085.7801,3007734.867,0,16.66666667
738076.4045,3007731.81,0,6.666666667
738067.1266,3007728.779,0,5.882352941
738057.5628,3007725.404,0,8.333333333
738048.1465,3007722.043,0,20
738038.6845,3007718.687,0,100
738029.328,3007715.461,0,20
738020.0521,3007712.274,0,10
738010.6692,3007709.082,0,9.090909091
738001.342,3007705.985,0,33.33333333
737991.9468,3007702.869,0,7.142857143
737982.6036,3007699.723,0,3.571428571
737973.2596,3007696.518,0,3.571428571
737963.8851,3007693.302,0,7.692307692
737954.5808,3007690.097,0,14.28571429
737945.1417,3007686.837,0,5
737935.8266,3007683.62,0,4.545454545
737926.4377,3007680.433,0,6.25
737916.9556,3007677.24,0,9.090909091
737907.6075,3007674.093,0,9.090909091
737898.1806,3007670.915,0,6.25
737888.8651,3007667.774,0,4.545454545
737879.5615,3007664.637,0,4.347826087
737870.1169,3007661.555,0,5.263157895
737860.7476,3007658.531,0,7.142857143
737851.3004,3007655.481,0,7.142857143
737841.8803,3007652.416,0,4.761904762
737832.4082,3007649.325,0,3.333333333
737823.0109,3007646.258,0,2.777777778
737813.5769,3007643.298,0,2.941176471
737804.0206,3007640.356,0,3.703703704
737794.6387,3007637.468,0,5.555555556
737785.1673,3007634.543,0,9.090909091
737775.6852,3007631.608,0,10
737766.2159,3007628.677,0,7.142857143
737756.6373,3007625.758,0,5
737747.1175,3007622.927,0,3.846153846
737737.4597,3007620.054,0,3.703703704
737727.8997,3007617.25,0,3.846153846
737718.4259,3007614.557,0,4.347826087
737708.807,3007611.824,0,5
737699.2852,3007609.1,0,4.545454545
737689.7061,3007606.309,0,3.125
737680.1665,3007603.528,0,2.222222222
737670.5378,3007600.789,0,2.325581395
737660.9054,3007598.242,0,4.761904762
737651.3617,3007595.73,0,11.11111111
737641.7384,3007593.177,0,3.846153846
737632.2098,3007590.596,0,5.555555556
737622.6398,3007588.003,0,20
737613.0627,3007585.418,0,4
737603.5561,3007582.877,0,3.03030303
737593.9134,3007580.302,0,3.225806452
